"ID";"Geslacht";"Leeftijd";"RegioS";"Perioden";"TotaalPersonenInHuishoudens_1";"TotaalInParticuliereHuishoudens_2";"ThuiswonendKind_3";"Alleenstaand_4";"TotaalSamenwonendePersonen_5";"PartnerInNietGehuwdPaarZonderKi_6";"PartnerInGehuwdPaarZonderKinderen_7";"PartnerInNietGehuwdPaarMetKinderen_8";"PartnerInGehuwdPaarMetKinderen_9";"OuderInEenouderhuishouden_10";"OverigLidHuishouden_11";"PersonenInInstitutioneleHuishoudens_12"
"0";"T001038";"10000";"NL01  ";"2000JJ00";"15863943";"15639815";" 4541102";" 2272219";" 8196032";"  989259";" 3042126";"  325531";" 3839116";"  384318";"  246144";"  224128"
"1";"T001038";"10000";"NL01  ";"2001JJ00";"15987074";"15768027";" 4577995";" 2307075";" 8231824";"  991072";" 3061444";"  356776";" 3822532";"  396353";"  254780";"  219047"
"2";"T001038";"10000";"NL01  ";"2002JJ00";"16105283";"15888494";" 4615571";" 2344903";" 8257686";"  998178";" 3069784";"  394190";" 3795534";"  411691";"  258643";"  216789"
"3";"T001038";"10000";"NL01  ";"2003JJ00";"16192572";"15977797";" 4628992";" 2383580";" 8278756";"  999883";" 3093312";"  428267";" 3757294";"  424124";"  262345";"  214775"
"4";"T001038";"10000";"NL01  ";"2004JJ00";"16258032";"16043120";" 4635325";" 2423950";" 8286332";"  990083";" 3112686";"  463013";" 3720550";"  433972";"  263541";"  214912"
"5";"T001038";"10000";"NL01  ";"2005JJ00";"16305526";"16092324";" 4634684";" 2449378";" 8298507";"  996744";" 3127616";"  497083";" 3677064";"  444124";"  265631";"  213202"
"6";"T001038";"10000";"NL01  ";"2006JJ00";"16334210";"16125557";" 4620345";" 2502084";" 8287373";"  989696";" 3144304";"  528319";" 3625054";"  452370";"  263385";"  208653"
"7";"T001038";"10000";"NL01  ";"2007JJ00";"16357992";"16151260";" 4601146";" 2536891";" 8291831";"  992062";" 3167912";"  561743";" 3570114";"  458881";"  262511";"  206732"
"8";"T001038";"10000";"NL01  ";"2008JJ00";"16405399";"16198535";" 4585036";" 2571014";" 8309482";" 1002666";" 3192638";"  597154";" 3517024";"  465704";"  267299";"  206864"
"9";"T001038";"10000";"NL01  ";"2009JJ00";"16485787";"16278784";" 4579646";" 2619394";" 8331248";" 1010074";" 3218836";"  629132";" 3473206";"  474909";"  273587";"  207003"
"10";"T001038";"10000";"NL01  ";"2010JJ00";"16574989";"16366302";" 4582223";" 2669516";" 8351932";" 1011414";" 3243236";"  661046";" 3436236";"  486250";"  276381";"  208687"
"11";"T001038";"10000";"NL01  ";"2011JJ00";"16655799";"16436484";" 4584272";" 2708251";" 8390655";" 1028748";" 3259025";"  699207";" 3403675";"  496272";"  257034";"  219315"
"12";"T001038";"10000";"NL01  ";"2012JJ00";"16730348";"16511124";" 4590769";" 2761764";" 8392958";" 1023588";" 3273354";"  722336";" 3373680";"  510894";"  254739";"  219224"
"13";"T001038";"10000";"NL01  ";"2013JJ00";"16779575";"16564791";" 4584600";" 2802182";" 8405274";" 1035156";" 3284622";"  750330";" 3335166";"  521578";"  251157";"  214784"
"14";"T001038";"10000";"NL01  ";"2014JJ00";"16829289";"16579347";" 4575606";" 2803852";" 8416336";" 1057062";" 3291278";"  776920";" 3291076";"  535870";"  247683";"  249942"
"15";"T001038";"10000";"NL01  ";"2015JJ00";"16900726";"16655932";" 4569209";" 2867797";" 8420057";" 1062311";" 3302758";"  807030";" 3247958";"  545289";"  253580";"  244794"
"16";"T001038";"10000";"NL01  ";"2016JJ00";"16979120";"16724232";" 4575382";" 2906334";" 8430396";" 1081262";" 3306646";"  826886";" 3215602";"  557426";"  254694";"  254888"
"17";"T001038";"10000";"NL01  ";"2017JJ00";"17081507";"16836205";" 4590985";" 2961228";" 8458470";" 1096652";" 3314754";"  854552";" 3192512";"  562124";"  263398";"  245302"
"18";"T001038";"10000";"NL01  ";"2018JJ00";"17181084";"16932312";" 4607972";" 2997617";" 8494992";" 1124866";" 3325188";"  870430";" 3174508";"  572419";"  259312";"  248772"
"19";"T001038";"10000";"NL01  ";"2019JJ00";"17282163";"17035502";" 4626741";" 3037622";" 8528704";" 1150080";" 3333292";"  881918";" 3163414";"  582106";"  260329";"  246661"
"20";"T001038";"10000";"NL01  ";"2020JJ00";"17407585";"17148722";" 4643605";" 3079778";" 8574862";" 1179832";" 3344778";"  894568";" 3155684";"  589975";"  260502";"  258863"
"21";"T001038";"10000";"NL01  ";"2021JJ00";"17475415";"17216655";" 4637308";" 3097117";" 8622770";" 1240158";" 3340610";"  915288";" 3126714";"  593871";"  265589";"  258760"
"22";"T001038";"10000";"NL01  ";"2022JJ00";"17590672";"17328133";" 4638955";" 3172564";" 8655582";" 1266754";" 3349236";"  932163";" 3107429";"  596408";"  264624";"  262539"
"23";"T001038";"10000";"NL01  ";"2023JJ00";"17811291";"17535267";" 4683450";" 3266042";" 8702082";" 1277524";" 3355286";"  940378";" 3128894";"  610633";"  273060";"  276024"
