"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"ParticuliereHuishoudensRelatief_2";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4";"GemiddeldBesteedbaarInkomen_5";"MediaanBesteedbaarInkomen_6";"GestandaardiseerdInkomen1e10Groep_7";"GestandaardiseerdInkomen2e10Groep_8";"GestandaardiseerdInkomen3e10Groep_9";"GestandaardiseerdInkomen4e10Groep_10";"GestandaardiseerdInkomen5e10Groep_11";"GestandaardiseerdInkomen6e10Groep_12";"GestandaardiseerdInkomen7e10Groep_13";"GestandaardiseerdInkomen8e10Groep_14";"GestandaardiseerdInkomen9e10Groep_15";"GestandaardiseerdInkomen10e10Groep_16"
"0";"1050010";"1050010";"NL01  ";"2011JJ00";"  7347.5";"     100";"    25.6";"    22.8";"    36.6";"    31.3";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"1";"1050010";"1050010";"NL01  ";"2012JJ00";"  7412.1";"     100";"    25.8";"    23.0";"    36.8";"    31.4";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"2";"1050010";"1050010";"NL01  ";"2013JJ00";"  7467.8";"     100";"    25.9";"    23.2";"    37.0";"    31.4";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"3";"1050010";"1050010";"NL01  ";"2014JJ00";"  7496.4";"     100";"    27.3";"    23.9";"    39.0";"    32.2";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"4";"1050010";"1050010";"NL01  ";"2015JJ00";"  7568.5";"     100";"    27.1";"    24.3";"    38.6";"    32.5";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"5";"1050010";"1050010";"NL01  ";"2016JJ00";"  7623.2";"     100";"    28.2";"    25.2";"    40.2";"    33.4";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"6";"1050010";"1050010";"NL01  ";"2017JJ00";"  7694.9";"     100";"    29.2";"    25.8";"    41.6";"    34.1";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"7";"1050010";"1050010";"NL01  ";"2018JJ00";"  7760.6";"     100";"    29.5";"    26.3";"    42.5";"    35.0";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"8";"1050010";"1050010";"NL01  ";"2019JJ00";"  7827.4";"     100";"    31.6";"    27.6";"    45.7";"    36.7";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"9";"1050010";"1050010";"NL01  ";"2020JJ00";"  7894.5";"     100";"    32.1";"    28.7";"    46.4";"    38.1";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"10";"1050010";"1050010";"NL01  ";"2021JJ00";"  7951.4";"     100";"    33.6";"    30.0";"    48.5";"    39.7";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"11";"1050010";"1050010";"NL01  ";"2022JJ00";"  8041.4";"     100";"    35.6";"    31.7";"    51.2";"    41.7";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"12";"1050010";"1050010";"NL01  ";"2023JJ00";"  8156.9";"     100";"    38.3";"    34.0";"    55.0";"    44.6";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10";"      10"
"65";"1050010";"1050010";"PV20  ";"2011JJ00";"   274.6";"     100";"    22.1";"    20.2";"    30.7";"    26.5";"      17";"      12";"      12";"      11";"      10";"       9";"       9";"       8";"       7";"       6"
"66";"1050010";"1050010";"PV20  ";"2012JJ00";"   277.3";"     100";"    22.2";"    20.4";"    30.7";"    26.5";"      17";"      12";"      12";"      11";"      10";"       9";"       9";"       8";"       7";"       6"
"67";"1050010";"1050010";"PV20  ";"2013JJ00";"   279.6";"     100";"    22.3";"    20.5";"    30.9";"    26.6";"      17";"      11";"      11";"      11";"      10";"       9";"       9";"       8";"       7";"       6"
"68";"1050010";"1050010";"PV20  ";"2014JJ00";"   280.1";"     100";"    23.3";"    21.1";"    32.2";"    27.3";"      17";"      11";"      11";"      11";"      10";"       9";"       9";"       8";"       7";"       6"
"69";"1050010";"1050010";"PV20  ";"2015JJ00";"   282.9";"     100";"    23.3";"    21.3";"    32.2";"    27.3";"      17";"      12";"      11";"      11";"      10";"       9";"       9";"       8";"       7";"       6"
"70";"1050010";"1050010";"PV20  ";"2016JJ00";"   283.7";"     100";"    24.2";"    22.0";"    33.3";"    28.2";"      17";"      12";"      11";"      11";"      10";"       9";"       9";"       8";"       7";"       6"
"71";"1050010";"1050010";"PV20  ";"2017JJ00";"   284.5";"     100";"    24.9";"    22.6";"    34.3";"    28.7";"      17";"      12";"      11";"      11";"      10";"       9";"       9";"       8";"       7";"       6"
"72";"1050010";"1050010";"PV20  ";"2018JJ00";"   285.5";"     100";"    25.1";"    23.0";"    35.0";"    29.4";"      17";"      12";"      11";"      11";"      10";"       9";"       9";"       8";"       7";"       6"
